,authors,title of paper,journal name,citations,doi,page no,month of publication,year of publication,ISSN,url,Journal_encoded
0,"Andrija Goranović, Marcus Meisel, Stefan Wilker, Thilo Sauter",Hyperledger Fabric Smart Grid Communication Testbed on Raspberry PI ARM Architecture,IEEE Conference Publication,5.0,10.1109/WFCS.2019.8758000,27-29 May 2019,July,2019.0,1882-2161.0,https://ieeexplore.ieee.org/abstract/document/8758000,2
1,"Obaidur Rahman, Kashem M. Muttaqi, Danny Sutanto",Three Phase Power Flow Analysis of Distribution Network Performance with High Penetration of Single Phase PV units Integrated with Energy Storage System,IEEE Conference Publication,163.0,10.1109/AUPEC.2018.8758001,27-30 Nov. 2018,July,2019.0,2169-3536,https://ieeexplore.ieee.org/abstract/document/8758001,2
2,"Shiva Azimi, Brejesh Lall, Tapan K. Gandhi",Performance Evalution of 3D Keypoint Detectors and Descriptors for Plants Health Classification,IEEE Conference Publication,6.0,10.23919/MVA.2019.8758002,27-31 May 2019,July,2019.0,1882-0927.0,https://ieeexplore.ieee.org/abstract/document/8758002,2
3,"S.A Syed Mustaffa, I. Musirin, M.M. Othman, M.H Mansor",Location and Sizing of Distributed Generation Photovoltaic (DGPV) via Multi-Objective Pareto Algorithm,IEEE Conference Publication,42.0,10.1109/AUPEC.2018.8758003,27-30 Nov. 2018,July,2019.0,2169-3536,https://ieeexplore.ieee.org/abstract/document/8758003,2
4,"Philip Tobianto Daely, Dong-Seong Kim",Bio-Inspired Cooperative Localization in Industrial Wireless Sensor Network,IEEE Conference Publication,3.0,10.1109/WFCS.2019.8758004,27-29 May 2019,July,2019.0,1882-2141.0,https://ieeexplore.ieee.org/abstract/document/8758004,2
5,"Mojaharul Islam, Fuwen Yang, Jahangir Hossain, Chandima Ekanayeke, ",Battery Energy Management to Minimize the Grid Fluctuation in Residential Microgrids,IEEE Conference Publication,1.0,10.1109/AUPEC.2018.8758005,27-30 Nov. 2018,July,2019.0,2169-3536,https://ieeexplore.ieee.org/abstract/document/8758005,2
6,"Xiang LI, Olav Krause",Feasibility of Generic Load Modeling for State Estimation in Distribution System,IEEE Conference Publication,74.0,10.1109/AUPEC.2018.8758006,27-30 Nov. 2018,July,2019.0,2169-3536,https://ieeexplore.ieee.org/abstract/document/8758006,2
7,"Abdulrahman Alduraibi, Jalil Yaghoobi, Firuz Zare, Rahul Sharma",A New Technology to Reduce Harmonic Emission in Distribution Networks: Addressing IEC 61000-3-12,IEEE Conference Publication,4.0,10.1109/AUPEC.2018.8758007,27-30 Nov. 2018,July,2019.0,2169-3536,https://ieeexplore.ieee.org/abstract/document/8758007,2
8,"Matthew Shreve, Raja Bala, Wencheng Wu, Beilei Xu, Ankur Purwar, ",Region-wise Modeling of Facial Skin Age using Deep CNNs,IEEE Conference Publication,88.0,10.23919/MVA.2019.8758008,27-31 May 2019,July,2019.0,1882-0943.0,https://ieeexplore.ieee.org/abstract/document/8758008,2
9,"Michael Nast, Björn Butzin, Frank Golatowski, Dirk Timmermann",Performance Analysis of a Secured BACnet/IP Network,IEEE Conference Publication,1.0,10.1109/WFCS.2019.8758009,27-29 May 2019,July,2019.0,1882-2154.0,https://ieeexplore.ieee.org/abstract/document/8758009,2
